TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_CLASSE_SERIE;TAB_X_QT_COTA;TAB_X_VL_COTA
Fundo;31.368.812/0001-18;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BIZCAPITAL EMPÍRICA PME RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Subordinada Mezanino 3 | Série 1;0.00;0.00
Fundo;31.368.812/0001-18;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BIZCAPITAL EMPÍRICA PME RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Subordinada Mezanino 4 | Série 1;18959.75;0.58
Fundo;31.658.884/0001-08;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CONFIANÇA;2025-02-28;Subclasse Senior;0.00;0.00
Fundo;31.658.884/0001-08;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CONFIANÇA;2025-02-28;Subclasse Subordinada Subordinada 1 |;0.00;0.00
Fundo;31.962.973/0001-35;CREDIHOME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Senior;0.00;0.00
Fundo;31.962.973/0001-35;CREDIHOME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Subordinada Subordinada 1 |;23.13;1040698.54
Fundo;32.024.768/0001-91;GFS EXCELÊNCIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2025-02-28;Subclasse Senior Série 3;10000.00;1604.30
Fundo;32.024.768/0001-91;GFS EXCELÊNCIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2025-02-28;Subclasse Senior Série 4;10000.00;1325.46
Fundo;32.024.768/0001-91;GFS EXCELÊNCIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2025-02-28;Subclasse Senior Série 6;10000.00;1239.50
Fundo;32.024.768/0001-91;GFS EXCELÊNCIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2025-02-28;Subclasse Senior Série 7;10000.00;1200.63
Fundo;32.024.768/0001-91;GFS EXCELÊNCIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2025-02-28;Subclasse Senior Série 10;10000.00;1114.96
Fundo;32.024.768/0001-91;GFS EXCELÊNCIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2025-02-28;Subclasse Senior Série 12;5000.00;1009.36
Fundo;32.024.768/0001-91;GFS EXCELÊNCIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO;2025-02-28;Subclasse Subordinada Subordinada 1 |;5906.00;18321.57
Fundo;32.274.365/0001-09;FCC I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;Subclasse Senior;0.00;0.00
Fundo;32.274.365/0001-09;FCC I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;Subclasse Subordinada Subordinada 1 |;75422739.06;0.52
Fundo;32.295.244/0001-35;CREDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Senior Série 1;0.00;0.00
Fundo;32.295.244/0001-35;CREDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Subordinada Subordinada 1 |;2762281.37;1.40
Fundo;32.321.312/0001-93;211 FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS NÃO-PADRONIZADO;2025-02-28;Subclasse Senior;0.00;0.00
Fundo;32.321.312/0001-93;211 FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS NÃO-PADRONIZADO;2025-02-28;Subclasse Subordinada Subordinada 1 |;47363767.34;1.43
Fundo;32.321.319/0001-05;BRAFIC CONSTRUÇÃO  CIVIL FI EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Senior Série 1;0.00;0.00
Fundo;32.321.319/0001-05;BRAFIC CONSTRUÇÃO  CIVIL FI EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA;2025-02-28;Subclasse Subordinada Subordinada 1 |;17015.07;21.47
Fundo;32.396.488/0001-04;CONSIGNAT - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-02-28;Subclasse Senior Série 2;6974.74;1581.61
Fundo;32.396.488/0001-04;CONSIGNAT - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-02-28;Subclasse Subordinada Mezanino 1 | Série 3;0.00;0.00
Fundo;32.396.488/0001-04;CONSIGNAT - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;2025-02-28;Subclasse Subordinada Subordinada 1 |;21.18;147717.53
Fundo;32.907.653/0001-45;CROWN OCEAN CAPITAL IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS;2025-02-28;Subclasse Senior Série 1;0.00;0.00
Fundo;32.907.653/0001-45;CROWN OCEAN CAPITAL IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS;2025-02-28;Subclasse Subordinada Subordinada 1 |;21382.04;1002.14
Fundo;32.969.429/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL;2025-02-28;Subclasse Senior Série 4;28751.44;845.29
Fundo;32.969.429/0001-88;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL;2025-02-28;Subclasse Senior Série 5;137032.29;1004.88
