TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_VII_A1_1_QT_DIRCRED_RISCO;TAB_VII_A1_2_VL_DIRCRED_RISCO;TAB_VII_A2_1_QT_DIRCRED_SEM_RISCO;TAB_VII_A2_2_VL_DIRCRED_SEM_RISCO;TAB_VII_A3_1_QT_DIRCRED_VENC_AD;TAB_VII_A3_2_VL_DIRCRED_VENC_AD;TAB_VII_A4_1_QT_DIRCRED_VENC_INAD;TAB_VII_A4_2_VL_DIRCRED_VENC_INAD;TAB_VII_A5_1_QT_DIRCRED_INAD;TAB_VII_A5_2_VL_DIRCRED_INAD;TAB_VII_B1_1_QT_CEDENTE;TAB_VII_B1_2_VL_CEDENTE;TAB_VII_B1_3_VL_CONTAB_CEDENTE;TAB_VII_B2_1_QT_PREST;TAB_VII_B2_2_VL_PREST;TAB_VII_B2_3_VL_CONTAB_PREST;TAB_VII_B3_1_QT_TERCEIRO;TAB_VII_B3_2_VL_TERCEIRO;TAB_VII_B3_3_VL_CONTAB_TERCEIRO;TAB_VII_C_1_QT_SUBST;TAB_VII_C_2_VL_SUBST;TAB_VII_C_3_VL_CONTAB_SUBST;TAB_VII_D_1_QT_RECOMPRA;TAB_VII_D_2_VL_RECOMPRA;TAB_VII_D_3_VL_CONTAB_RECOMPRA
Classe;51.344.394/0001-36;HAVAN FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTICARTEIRA;2025-02-28;3128.00;121529822.74;0.00;0.00;3128.00;121529822.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;51.364.521/0001-69;ORRAM 90 FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;51.388.032/0001-47;ACTUAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-02-28;133.00;4560833.29;0.00;0.00;132.00;4544955.05;0.00;0.00;1.00;15878.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;8.00;220270.03;227027.18
Classe;51.388.629/0001-91;GRUPOSC - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;1419.00;18471692.68;0.00;0.00;1419.00;18471692.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;51.390.507/0001-30;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ZONDA HY;2025-02-28;57400.00;63690832.88;0.00;0.00;57400.00;63690832.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;51.401.568/0001-55;BLUEFIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;51.410.150/0001-04;ALPS BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL;2025-02-28;155.00;445587.25;762.00;2912683.22;155.00;445587.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;47.00;110335.02;101237.35;14.00;39984.66;39793.08
Classe;51.430.054/0001-28;BRAVOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;51.475.474/0001-20;FIDARA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;75.00;13938277.59;0.00;0.00;75.00;13938277.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;51.476.020/0001-74;ORRAM HIGH YIELD FUNDO DE INVESTIMENTO EM QUOTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
