TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TAB_X_SCR_RISCO_DEVEDOR_AA;TAB_X_SCR_RISCO_DEVEDOR_A;TAB_X_SCR_RISCO_DEVEDOR_B;TAB_X_SCR_RISCO_DEVEDOR_C;TAB_X_SCR_RISCO_DEVEDOR_D;TAB_X_SCR_RISCO_DEVEDOR_E;TAB_X_SCR_RISCO_DEVEDOR_F;TAB_X_SCR_RISCO_DEVEDOR_G;TAB_X_SCR_RISCO_DEVEDOR_H;TAB_X_SCR_RISCO_OPER_AA;TAB_X_SCR_RISCO_OPER_A;TAB_X_SCR_RISCO_OPER_B;TAB_X_SCR_RISCO_OPER_C;TAB_X_SCR_RISCO_OPER_D;TAB_X_SCR_RISCO_OPER_E;TAB_X_SCR_RISCO_OPER_F;TAB_X_SCR_RISCO_OPER_G;TAB_X_SCR_RISCO_OPER_H;TAB_X_DEBITO_TRIBUT
Classe;48.069.210/0001-62;G3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;0.00;5200476.80;21022.40;1058.10;3265.10;0.00;0.00;0.00;0.00;0.00;5200476.80;21022.40;1058.10;3265.10;0.00;0.00;0.00;0.00;0.00
Classe;48.169.685/0001-20;EOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS WH;2025-02-28;0.00;9596729.80;5284.40;4847.60;0.00;0.00;0.00;0.00;7024.50;0.00;9596729.80;5284.40;4847.60;0.00;0.00;0.00;0.00;7024.50;0.00
Classe;48.181.381/0001-89;WAAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-02-28;29140240.05;332576.21;0.00;789603.64;0.00;0.00;0.00;0.00;0.00;29140240.05;332576.21;0.00;789603.64;0.00;0.00;0.00;0.00;0.00;0.00
Classe;48.181.830/0001-99;TB1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE ILIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;48.213.143/0001-08;ALUMNI II FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS NP - RESPONSABILIDADE LIMITADA.;2025-02-28;0.00;7528537.30;20597899.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7528537.30;20597899.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;48.213.253/0001-70;INVESTMAX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;0.00;7661498.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7661498.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;48.279.539/0001-58;ALGARVE AMAZÔNIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;48.279.617/0001-14;JER II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA;2025-02-28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Classe;48.313.595/0001-61;IBBA AGRO BR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;35815791.54;0.00;280556.10;0.00;0.00;1325367.61;1125867.67;0.00;6101965.53;35815791.54;0.00;280556.10;0.00;0.00;1325367.61;1125867.67;0.00;6101965.53;0.00
Classe;48.313.744/0001-92;CREDX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS;2025-02-28;55583129.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;55583129.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10725763.03
